participant_id,first_name,last_name,gender,region,district,school,language,family_type,round_1_score,passed_round_1
P01158,Артём,Соколов,M,Северо-Казахстанская область,Северный район,Школа №5,ru,single,82.8,True
P01159,Гульнара,Темирбеков,F,Атырауская область,Центральный район,Школа №2,kk,full,69.7,True
P01160,Иван,Иванов,M,Алматинская область,Заречный район,Школа №4,ru,single,44.1,False
P01161,Жансая,Алиев,F,Актюбинская область,Северный район,Школа №5,kk,single,11.5,False
P01162,Максим,Смирнов,M,Улытауская область,Заречный район,Школа №4,ru,full,89.4,True
P01163,Александр,Соколов,M,Алматинская область,Северный район,Школа №1,ru,full,34.2,False
P01164,Жаныбек,Нурланов,M,Северо-Казахстанская область,Западный район,Школа №3,kk,single,24.3,False
P01165,Мария,Смирнова,F,Западно-Казахстанская область,Центральный район,Школа №2,ru,single,64.3,False
P01166,Жаныбек,Алиев,M,г. Алматы,Западный район,Школа №4,kk,full,91.6,True
P01167,Камила,Алиев,F,Акмолинская область,Сельский район,Школа №4,kk,full,75.8,True
P01168,Шынгыс,Кадыров,M,Абайская область,Северный район,Школа №5,kk,full,63.5,False
P01169,Данияр,Бекенов,M,г. Алматы,Северный район,Школа №1,kk,full,63.9,False
P01170,Айдар,Сатпаев,M,Туркестанская область,Центральный район,Школа №1,kk,single,61.8,False
P01171,Данияр,Нурланов,M,Улытауская область,Северный район,Школа №4,kk,single,60.4,False
P01172,Анна,Попова,F,Павлодарская область,Заречный район,Школа №5,ru,single,53.2,False
P01173,Жаныбек,Абилов,M,г. Астана,Сельский район,Школа №3,kk,full,56.6,False
P01174,Алина,Маратов,F,Жетысуская область,Северный район,Школа №2,kk,single,48.1,False
P01175,Михаил,Волков,M,Улытауская область,Сельский район,Школа №2,ru,full,43.7,False
P01176,Кирилл,Иванов,M,Мангистауская область,Северный район,Школа №5,ru,full,50.8,False
P01177,Наргиз,Сериков,F,Абайская область,Северный район,Школа №3,kk,full,29.6,False
P01178,Анна,Новикова,F,Алматинская область,Восточный район,Школа №3,ru,full,53.5,False
P01179,Алихан,Сериков,M,Восточно-Казахстанская область,Заречный район,Школа №3,kk,single,34.2,False
P01180,Ольга,Смирнова,F,Алматинская область,Западный район,Школа №3,ru,single,32.4,False
P01181,Артём,Новиков,M,Кызылординская область,Западный район,Школа №3,ru,full,57.7,False
P01182,Дана,Касенов,F,Акмолинская область,Западный район,Школа №1,kk,single,69.9,True
P01183,Александр,Смирнов,M,Алматинская область,Южный район,Школа №5,ru,full,68.8,True
P01184,Олжас,Касенов,M,Актюбинская область,Южный район,Школа №5,kk,single,25.4,False
P01185,Алмат,Нурланов,M,Павлодарская область,Северный район,Школа №1,kk,full,40.2,False
P01186,Наргиз,Сериков,F,Западно-Казахстанская область,Восточный район,Школа №2,kk,single,63.1,False
P01187,Тимур,Темирбеков,M,г. Шымкент,Сельский район,Школа №3,kk,single,34.3,False
P01188,Балжан,Темирбеков,F,Павлодарская область,Южный район,Школа №2,kk,full,51.6,False
P01189,Данияр,Маратов,M,Северо-Казахстанская область,Сельский район,Школа №2,kk,full,63.3,False
P01190,Андрей,Лебедев,M,Костанайская область,Сельский район,Школа №2,ru,full,40.5,False
P01191,Аян,Маратов,M,Павлодарская область,Южный район,Школа №5,kk,full,56.6,False
P01192,Никита,Кузнецов,M,Актюбинская область,Заречный район,Школа №5,ru,full,35.0,False
P01193,Ксения,Иванова,F,Атырауская область,Восточный район,Школа №4,ru,single,40.0,False
P01194,Кирилл,Соколов,M,Улытауская область, Заречный район ,Школа №4,ru,single,53.8,False
P01195,Томирис,Сериков,F,Акмолинская область,Северный район,Школа №2,kk,full,31.1,False
P01196,Камила,Бекенов,F,Кызылординская область,Северный район,Школа №5,kk,single,55.6,False
P01197,Данияр,Жумабеков,M,Улытауская область,Сельский район,Школа №4,kk,full,54.7,False
P01198,Ержан,Тулегенов,M,Павлодарская область,Западный район,Школа №3,kk,full,63.3,False
P01199,Аян,Тулегенов,M,г. Шымкент,Северный район,Школа №4,kk,full,58.4,False
P01200,Елена,Волкова,F,Алматинская область,Центральный район,Школа №1,ru,full,75.5,True
P01201,Андрей,Новиков,M,г. Шымкент,Западный район,Школа №4,ru,full,56.9,False
P01202,Мария,Кузнецова,F,Жетысуская область,Сельский район,Школа №4,ru,full,48.6,False
P01203,Ксения,Новикова,F,Павлодарская область,Сельский район,Школа №4,ru,full,56.8,False
P01204,Данияр,Жумабеков,M,Западно-Казахстанская область,Южный район,Школа №4,kk,full,63.1,False
P01205,Александр,Иванов,M,Абайская область,Северный район,Школа №5,ru,single,49.7,False
P01206,Томирис,Нурланов,F,Жетысуская область,Западный район,Школа №2,kk,full,55.6,False
P01207,Тимур,Нурланов,M,Атырауская область,Заречный район,Школа №2,kk,full,44.5,False
P01208,Бекжан,Сериков,M,Атырауская область,Западный район,Школа №5,kk,single,39.1,False
P01209,Дана,Тулегенов,F,Восточно-Казахстанская область,Южный район,Школа №1,kk,full,34.0,False
P01210,Артём,Иванов,M,г. Шымкент,Заречный район,Школа №1,ru,full,81.2,True
P01211,Максим,Попов,M,Восточно-Казахстанская область,Северный район,Школа №2,ru,full,36.3,False
P01212,Камила,Жумабеков,F,Акмолинская область,Южный район,Школа №2,kk,full,44.6,False
P01213,Алтынай,Сериков,F,Северо-Казахстанская область,Западный район,Школа №2,kk,full,44.2,False
P01214,Наргиз,Кадыров,F,Жамбылская область,Восточный район,Школа №1,kk,full,68.4,True
P01215,Балжан,Касенов,F,Павлодарская область,Восточный район,Школа №4,kk,single,44.6,False
P01216,Аян,Касенов,M,г. Астана,Заречный район,Школа №1,kk,full,73.7,True
P01217,Шынгыс,Сатпаев,M,г. Алматы,Центральный район,Школа №3,kk,single,38.9,False
P01218,Адильхан,Тулегенов,M,Улытауская область,Сельский район,Школа №3,kk,full,59.2,False
P01219,Бекжан,Сериков,M,Атырауская область,Южный район,Школа №2,kk,single,36.5,False
P01220,Данияр,Абилов,M,Туркестанская область,Восточный район,Школа №4,kk,single,81.2,True
P01221,Дамир,Нурланов,M,Алматинская область,Западный район,Школа №5,kk,full,37.2,False
P01222,Ольга,Лебедева,F,Северо-Казахстанская область,Восточный район,Школа №3,ru,single,53.6,False
P01223,Малика,Бекенов,F,г. Астана,Южный район,Школа №1,kk,full,64.5,False
P01224,Елена,Волкова,F,Павлодарская область,Южный район,Школа №5,ru,full,61.2,False
P01225,Ерасыл,Нурланов,M,Восточно-Казахстанская область,Южный район,Школа №2,kk,full,52.2,False
P01226,Андрей,Иванов,M,Костанайская область, Заречный район ,Школа №3,ru,full,53.1,False
P01227,Гульнара,Тулегенов,F,Актюбинская область,Восточный район,Школа №2,kk,full,55.7,False
P01228,Шынгыс,Касенов,M,Актюбинская область,Западный район,Школа №4,kk,full,52.8,False
P01229,Владислав,Кузнецов,M,Акмолинская область,Сельский район,Школа №1,ru,single,63.5,False
P01230,Аян,Сатпаев,M,Костанайская область,Западный район,Школа №5,kk,full,88.2,True
P01231,Никита,Иванов,M,Северо-Казахстанская область,Южный район,Школа №4,ru,full,46.6,False
P01232,Динара,Касенов,F,Абайская область,Центральный район,Школа №4,kk,single,28.5,False
P01233,Кирилл,Петров,M,г. Алматы,Сельский район,Школа №5,ru,full,53.7,False
P01234,Максим,Петров,M,Кызылординская область,Западный район,Школа №2,ru,full,93.7,True
P01235,Ерасыл,Маратов,M,Павлодарская область,Северный район,Школа №2,kk,single,36.9,False
P01236,Полина,Иванова,F,Акмолинская область,Южный район,Школа №1,ru,full,79.6,True
P01237,Динара,Маратов,F,г. Шымкент,Сельский район,Школа №3,kk,full,80.2,True
P01238,Алтынай,Алиев,F,Костанайская область,Сельский район,Школа №5,kk,single,40.7,False
P01239,Меруерт,Касенов,F,Алматинская область,Западный район,Школа №5,kk,full,63.5,False
P01240,Наргиз,Бекенов,F,Актюбинская область,Южный район,Школа №1,kk,full,79.4,True
P01241,Балжан,Маратов,F,Актюбинская область,Центральный район,Школа №1,kk,full,49.3,False
P01242,Камила,Бекенов,F,Туркестанская область,Центральный район,Школа №5,kk,single,45.9,False
P01243,Дария,Маратов,F,Северо-Казахстанская область,Заречный район,Школа №5,kk,full,46.3,False
P01244,Кирилл,Новиков,M,г. Шымкент,Западный район,Школа №4,ru,full,39.8,False
P01245,Данияр,Сатпаев,M,Алматинская область,Северный район,Школа №1,kk,single,39.3,False
P01246,Артём,Соколов,M,Абайская область,Восточный район,Школа №4,ru,full,36.6,False
P01247,Ержан,Нурланов,M,Жамбылская область,Северный район,Школа №4,kk,full,55.5,False
P01248,Алмат,Темирбеков,M,Мангистауская область,Заречный район,Школа №2,kk,full,43.5,False
P01249,Санжар,Сатпаев,M,Туркестанская область,Западный район,Школа №1,kk,full,58.5,False
P01250,Айдана,Темирбеков,F,г. Астана,Южный район,Школа №5,kk,full,31.7,False
P01251,Жаныбек,Нурланов,M,Мангистауская область,Центральный район,Школа №3,kk,full,60.0,False
P01252,Данияр,Маратов,M,г. Шымкент,Южный район,Школа №1,kk,full,67.5,True
P01253,Дария,Маратов,F,Жетысуская область,Северный район,Школа №1,kk,full,25.1,False
P01254,Адильхан,Касенов,M,Туркестанская область,Восточный район,Школа №2,kk,single,54.6,False
P01255,Айгерим,Сатпаев,F,Кызылординская область,Восточный район,Школа №4,kk,single,67.4,True
P01256,Адильхан,Сатпаев,M,Карагандинская область,Сельский район,Школа №5,kk,full,36.9,False
P01257,Данияр,Маратов,M,Костанайская область,Восточный район,Школа №3,kk,single,74.1,True
P01258,Ержан,Абилов,M,Абайская область,Сельский район,Школа №3,kk,single,55.3,False
P01259,София,Новикова,F,Алматинская область,Южный район,Школа №1,ru,full,44.4,False
P01260,Арман,Кадыров,M,Туркестанская область,Центральный район,Школа №4,kk,full,54.2,False
P01261,Камила,Касенов,F,Алматинская область,Южный район,Школа №5,kk,single,57.4,False
P01262,Михаил,Смирнов,M,Западно-Казахстанская область,Заречный район,Школа №3,ru,full,56.1,False
P01263,Дмитрий,Кузнецов,M,Акмолинская область,Западный район,Школа №3,ru,single,57.1,False
P01264,Никита,Попов,M,Карагандинская область,Центральный район,Школа №4,ru,single,35.2,False
P01265,Михаил,Соколов,M,г. Шымкент,Западный район,Школа №3,ru,full,57.5,False
P01266,Олжас,Темирбеков,M,Жамбылская область,Южный район,Школа №1,kk,full,33.8,False
P01267,Адильхан,Темирбеков,M,Западно-Казахстанская область,Северный район,Школа №3,kk,single,47.3,False
P01268,Полина,Смирнова,F,Актюбинская область,Заречный район,Школа №2,ru,full,41.4,False
P01269,Айдана,Абилов,F,Кызылординская область,Северный район,Школа №4,kk,full,44.0,False
P01270,Дана,Жумабеков,F,г. Шымкент,Южный район,Школа №4,kk,full,73.5,True
P01271,Бауыржан,Жумабеков,M,Атырауская область,Восточный район,Школа №3,kk,full,71.4,True
P01272,Максим,Морозов,M,Восточно-Казахстанская область,Восточный район,Школа №4,ru,full,64.1,False
P01273,Полина,Попова,F,Северо-Казахстанская область,Южный район,Школа №4,ru,single,32.6,False
P01274,Александр,Лебедев,M,Актюбинская область,Сельский район,Школа №3,ru,single,44.3,False
P01275,Эльмира,Тулегенов,F,г. Астана,Южный район,Школа №4,kk,full,73.2,True
P01276,Сабина,Абилов,F,Акмолинская область,Центральный район,Школа №1,kk,full,57.1,False
P01277,Рамазан,Маратов,M,Костанайская область,Сельский район,Школа №5,kk,full,89.8,True
P01278,Балжан,Тулегенов,F,Атырауская область,Западный район,Школа №4,kk,full,60.9,False
P01279,Аружан,Жумабеков,F,Карагандинская область,Заречный район,Школа №1,kk,single,51.9,False
P01280,Алина,Темирбеков,F,Атырауская область,Западный район,Школа №5,kk,full,50.4,False
P01281,Санжар,Абилов,M,Мангистауская область,Центральный район,Школа №3,kk,full,57.0,False
P01282,Полина,Соколова,F,г. Шымкент,Заречный район,Школа №5,ru,full,52.7,False
P01283,Арман,Маратов,M,Жетысуская область,Северный район,Школа №5,kk,full,65.6,False
P01284,Алтынай,Сатпаев,F,Туркестанская область,Южный район,Школа №4,kk,full,69.4,True
P01285,Малика,Алиев,F,Абайская область,Южный район,Школа №5,kk,full,43.2,False
P01286,Эльмира,Абилов,F,Акмолинская область,Южный район,Школа №4,kk,single,29.0,False
P01287,Аян,Кадыров,M,Улытауская область,Сельский район,Школа №2,kk,full,27.5,False
P01288,Алина,Алиев,F,Атырауская область,Южный район,Школа №5,kk,full,62.6,False
P01289,Елена,Соколова,F,Мангистауская область,Центральный район,Школа №4,ru,full,38.4,False
P01290,Никита,Морозов,M,Улытауская область,Южный район,Школа №3,ru,full,22.7,False
P01291,Камила,Сериков,F,Акмолинская область,Центральный район,Школа №2,kk,full,60.8,False
P01292,Наргиз,Кадыров,F,Жетысуская область,Сельский район,Школа №2,kk,full,92.4,True
P01293,Мария,Лебедева,F,Актюбинская область,Центральный район,Школа №1,ru,full,54.9,False
P01294,Жансая,Сатпаев,F,Абайская область,Северный район,Школа №4,kk,full,67.6,True
P01295,Балжан,Бекенов,F,Западно-Казахстанская область,Восточный район,Школа №3,kk,full,56.2,False
P01296,Сабина,Бекенов,F,Актюбинская область, Западный район ,Школа №1,kk,full,53.5,False
P01297,Ксения,Лебедева,F,г. Астана,Западный район,Школа №3,ru,full,68.8,True
P01298,Полина,Новикова,F,Жамбылская область,Сельский район,Школа №4,ru,full,50.6,False
P01299,Артём,Петров,M,Северо-Казахстанская область,Восточный район,Школа №1,ru,full,59.0,False
P01300,Алмат,Сериков,M,Туркестанская область,Северный район,Школа №5,kk,full,59.8,False
P01301,Дмитрий,Лебедев,M,Кызылординская область,Центральный район,Школа №2,ru,single,39.0,False
P01302,Санжар,Сатпаев,M,Улытауская область,Южный район,Школа №1,kk,full,69.9,True
P01303,Дана,Касенов,F,Абайская область,Центральный район,Школа №3,kk,full,52.4,False
P01304,Балжан,Тулегенов,F,Костанайская область,Сельский район,Школа №1,kk,full,43.7,False
P01305,Никита,Иванов,M,Кызылординская область,Центральный район,Школа №5,ru,single,57.0,False
P01306,Ольга,Смирнова,F,Западно-Казахстанская область,Заречный район,Школа №1,ru,full,41.5,False
P01307,Рамазан,Жумабеков,M,Жетысуская область,Центральный район,Школа №1,kk,single,49.4,False
P01308,Камила,Касенов,F,Абайская область,Западный район,Школа №4,kk,single,48.9,False
P01309,Малика,Тулегенов,F,Атырауская область,Центральный район,Школа №5,kk,single,65.3,False
P01310,Нурлан,Темирбеков,M,Жетысуская область,Северный район,Школа №1,kk,full,62.1,False
P01311,Полина,Волкова,F,Акмолинская область, Сельский район ,Школа №2,ru,single,48.6,False
P01312,Аян,Жумабеков,M,Акмолинская область,Южный район,Школа №2,kk,single,61.3,False
P01313,Алмат,Касенов,M,Актюбинская область,Центральный район,Школа №5,kk,full,75.9,True
P01314,Екатерина,Новикова,F,Карагандинская область,Южный район,Школа №3,ru,single,57.4,False
P01315,Иван,Морозов,M,Улытауская область,Центральный район,Школа №4,ru,single,49.2,False
P01316,Балжан,Алиев,F,Улытауская область,Северный район,Школа №5,kk,full,35.3,False
P01317,Артём,Иванов,M,Жетысуская область,Заречный район,Школа №4,ru,single,33.0,False
P01318,Дмитрий,Соколов,M,г. Астана,Восточный район,Школа №1,ru,full,50.4,False
P01319,Айгерим,Нурланов,F,Мангистауская область,Восточный район,Школа №2,kk,full,45.9,False
P01320,Дария,Темирбеков,F,г. Алматы,Сельский район,Школа №1,kk,single,46.2,False
P01321,Дана,Сатпаев,F,Жамбылская область, Сельский район ,Школа №5,kk,full,55.8,False
P01322,Александр,Петров,M,г. Алматы,Восточный район,Школа №3,ru,single,56.9,False
P01323,Томирис,Маратов,F,г. Астана,Сельский район,Школа №2,kk,single,47.9,False
P01324,Владислав,Смирнов,M,Абайская область,Южный район,Школа №3,ru,full,62.3,False
P01325,Ерасыл,Сатпаев,M,Мангистауская область,Центральный район,Школа №3,kk,full,56.0,False
P01326,Никита,Иванов,M,Алматинская область,Южный район,Школа №3,ru,single,19.4,False
P01327,Айгерим,Абилов,F,Абайская область,Восточный район,Школа №3,kk,full,40.9,False
P01328,Айдана,Сатпаев,F,Актюбинская область,Южный район,Школа №5,kk,full,52.8,False
P01329,Дамир,Жумабеков,M,Туркестанская область,Северный район,Школа №2,kk,full,36.9,False
P01330,Алтынай,Касенов,F,Акмолинская область,Северный район,Школа №4,kk,full,64.0,False
P01331,Александр,Соколов,M,Западно-Казахстанская область,Центральный район,Школа №3,ru,full,78.0,True
P01332,Алмат,Сериков,M,Улытауская область,Восточный район,Школа №1,kk,full,73.3,True
P01333,Нурлан,Сериков,M,Павлодарская область,Южный район,Школа №3,kk,full,51.8,False
P01334,Иван,Новиков,M,Карагандинская область,Западный район,Школа №3,ru,full,77.4,True
P01335,Анастасия,Петрова,F,г. Шымкент,Северный район,Школа №5,ru,single,51.2,False
P01336,Ксения,Кузнецова,F,Мангистауская область,Сельский район,Школа №2,ru,full,49.9,False
P01337,Алина,Бекенов,F,г. Астана,Западный район,Школа №5,kk,single,39.8,False
P01338,Сабина,Темирбеков,F,г. Шымкент,Восточный район,Школа №5,kk,full,50.5,False
P01339,Дмитрий,Кузнецов,M,Костанайская область,Северный район,Школа №3,ru,full,49.2,False
P01340,Владислав,Новиков,M,Павлодарская область,Южный район,Школа №5,ru,full,57.6,False
P01341,София,Кузнецова,F,Северо-Казахстанская область,Сельский район,Школа №5,ru,single,51.4,False
P01342,Екатерина,Лебедева,F,г. Астана,Заречный район,Школа №3,ru,single,49.0,False
P01343,Нурлан,Нурланов,M,Улытауская область,Северный район,Школа №2,kk,single,55.6,False
P01344,Алтынай,Нурланов,F,Западно-Казахстанская область,Сельский район,Школа №4,kk,single,66.9,True
P01345,Нурлан,Темирбеков,M,Восточно-Казахстанская область,Центральный район,Школа №5,kk,single,63.2,False
P01346,Камила,Маратов,F,г. Алматы,Северный район,Школа №1,kk,full,32.7,False
P01347,Эльмира,Сатпаев,F,Алматинская область,Заречный район,Школа №3,kk,single,10.7,False
P01348,Малика,Жумабеков,F,Туркестанская область,Заречный район,Школа №2,kk,single,63.0,False
P01349,Полина,Петрова,F,Атырауская область,Центральный район,Школа №3,ru,full,34.5,False
P01350,Аян,Тулегенов,M,г. Астана,Южный район,Школа №1,kk,full,51.6,False
P01351,Сабина,Тулегенов,F,г. Астана,Западный район,Школа №4,kk,full,37.4,False
P01352,Артём,Иванов,M,Жамбылская область,Восточный район,Школа №5,ru,single,22.0,False
P01353,Аян,Сериков,M,Карагандинская область,Южный район,Школа №2,kk,single,57.1,False
P01354,Никита,Петров,M,Жетысуская область,Заречный район,Школа №1,ru,full,66.4,True
P01355,Анастасия,Волкова,F,Акмолинская область,Западный район,Школа №2,ru,full,46.4,False
P01356,Балжан,Жумабеков,F,г. Астана,Восточный район,Школа №5,kk,full,16.1,False
P01357,Андрей,Новиков,M,Павлодарская область,Восточный район,Школа №2,ru,single,40.8,False
P01358,Жансая,Сериков,F,Жетысуская область,Заречный район,Школа №2,kk,full,60.9,False
P01359,Санжар,Касенов,M,Актюбинская область,Заречный район,Школа №1,kk,full,32.8,False
P01360,Ксения,Кузнецова,F,г. Алматы,Заречный район,Школа №1,ru,single,51.8,False
P01361,Томирис,Нурланов,F,Жетысуская область,Заречный район,Школа №4,kk,full,54.8,False
P01362,Елена,Смирнова,F,Жамбылская область,Заречный район,Школа №5,ru,single,57.7,False
P01363,Алина,Абилов,F,г. Алматы,Западный район,Школа №2,kk,full,56.8,False
P01364,Томирис,Бекенов,F,Кызылординская область,Восточный район,Школа №2,kk,single,34.4,False
P01365,Ольга,Новикова,F,Мангистауская область,Западный район,Школа №4,ru,full,72.9,True
P01366,Дмитрий,Лебедев,M,Северо-Казахстанская область,Южный район,Школа №4,ru,full,52.6,False
P01367,Алмат,Кадыров,M,Мангистауская область,Заречный район,Школа №4,kk,single,48.6,False
P01368,Гульнара,Темирбеков,F,Карагандинская область,Южный район,Школа №4,kk,full,41.0,False
P01369,Динара,Нурланов,F,Мангистауская область,Сельский район,Школа №4,kk,full,48.4,False
P01370,Бекжан,Кадыров,M,Акмолинская область,Южный район,Школа №2,kk,full,41.7,False
P01371,Алмат,Сатпаев,M,г. Шымкент,Южный район,Школа №5,kk,full,52.4,False
P01372,Анна,Попова,F,Кызылординская область,Сельский район,Школа №1,ru,full,80.7,True
P01373,Балжан,Алиев,F,г. Алматы,Восточный район,Школа №2,kk,full,34.4,False
P01374,Нурлан,Бекенов,M,г. Алматы,Заречный район,Школа №1,kk,full,30.8,False
P01375,Андрей,Морозов,M,Мангистауская область,Сельский район,Школа №2,ru,full,77.1,True
P01376,Бекжан,Темирбеков,M,Западно-Казахстанская область,Заречный район,Школа №4,kk,full,51.9,False
P01377,Дмитрий,Петров,M,Актюбинская область,Центральный район,Школа №4,ru,full,45.0,False
P01378,Аружан,Сериков,F,г. Астана,Сельский район,Школа №5,kk,single,64.6,False
P01379,Айгерим,Жумабеков,F,Западно-Казахстанская область,Восточный район,Школа №3,kk,single,39.9,False
P01380,Малика,Сериков,F,Жетысуская область,Восточный район,Школа №4,kk,full,82.4,True
P01381,Камила,Темирбеков,F,Туркестанская область,Заречный район,Школа №3,kk,single,59.2,False
P01382,Томирис,Темирбеков,F,Мангистауская область,Сельский район,Школа №3,kk,full,47.7,False
P01383,Арман,Касенов,M,Актюбинская область,Центральный район,Школа №2,kk,single,81.4,True
P01384,Аружан,Нурланов,F,г. Шымкент,Сельский район,Школа №5,kk,single,39.9,False
P01385,Нурлан,Жумабеков,M,Костанайская область,Сельский район,Школа №3,kk,full,66.1,True
P01386,Елена,Кузнецова,F,г. Алматы,Сельский район,Школа №4,ru,full,59.5,False
P01387,Наргиз,Тулегенов,F,г. Алматы,Сельский район,Школа №1,kk,single,68.5,True
P01388,Арман,Темирбеков,M,Восточно-Казахстанская область,Западный район,Школа №2,kk,full,78.4,True
P01389,Малика,Абилов,F,Восточно-Казахстанская область,Заречный район,Школа №4,kk,full,55.5,False
P01390,Айгерим,Жумабеков,F,Алматинская область,Восточный район,Школа №3,kk,full,43.7,False
P01391,Аяна,Алиев,F,Карагандинская область,Западный район,Школа №5,kk,single,55.9,False
P01392,Рамазан,Абилов,M,Жамбылская область,Южный район,Школа №2,kk,full,44.8,False
P01393,Динара,Нурланов,F,Восточно-Казахстанская область,Северный район,Школа №1,kk,full,85.2,True
P01394,Михаил,Новиков,M,Костанайская область,Центральный район,Школа №4,ru,full,57.0,False
P01395,Бекжан,Кадыров,M,Абайская область,Северный район,Школа №4,kk,full,49.5,False
P01396,Жаныбек,Жумабеков,M,г. Алматы,Западный район,Школа №2,kk,full,57.8,False
P01397,Дмитрий,Смирнов,M,Западно-Казахстанская область,Западный район,Школа №5,ru,full,34.8,False
P01398,Томирис,Сатпаев,F,Западно-Казахстанская область,Сельский район,Школа №5,kk,full,40.4,False
P01399,Бекжан,Бекенов,M,Актюбинская область,Сельский район,Школа №2,kk,full,73.0,True
P01400,Айдана,Алиев,F,Улытауская область,Сельский район,Школа №4,kk,full,45.1,False
P01401,Сауле,Нурланов,F,Мангистауская область,Сельский район,Школа №4,kk,full,39.3,False
P01402,Алина,Сатпаев,F,Жамбылская область,Северный район,Школа №3,kk,single,57.0,False
P01403,Наргиз,Маратов,F,Западно-Казахстанская область,Заречный район,Школа №4,kk,full,72.8,True
P01404,Максим,Попов,M,Павлодарская область,Северный район,Школа №2,ru,full,65.8,False
P01405,Александр,Кузнецов,M,Северо-Казахстанская область,Южный район,Школа №1,ru,full,69.9,True
P01406,Дмитрий,Морозов,M,Абайская область,Западный район,Школа №3,ru,full,43.6,False
P01407,Дмитрий,Соколов,M,Акмолинская область,Западный район,Школа №4,ru,single,27.7,False
P01408,Наргиз,Маратов,F,г. Алматы,Сельский район,Школа №3,kk,full,77.5,True
P01409,Аяна,Алиев,F,Актюбинская область,Восточный район,Школа №1,kk,full,50.2,False
P01410,Алтынай,Тулегенов,F,Западно-Казахстанская область,Сельский район,Школа №5,kk,single,45.2,False
P01411,Иван,Смирнов,M,г. Астана,Заречный район,Школа №5,ru,full,74.9,True
P01412,Айдана,Сериков,F,Жамбылская область,Сельский район,Школа №2,kk,single,57.3,False
P01413,Дамир,Сатпаев,M,Жамбылская область,Заречный район,Школа №2,kk,full,61.8,False
P01414,Елена,Соколова,F,г. Алматы,Южный район,Школа №4,ru,full,87.5,True
P01415,Меруерт,Сериков,F,Алматинская область,Центральный район,Школа №1,kk,full,45.3,False
P01416,Дарья,Иванова,F,Жамбылская область,Заречный район,Школа №1,ru,single,62.9,False
P01417,Балжан,Маратов,F,Атырауская область,Южный район,Школа №3,kk,full,55.9,False
P01418,Бекжан,Бекенов,M,Западно-Казахстанская область,Северный район,Школа №3,kk,full,59.0,False
P01419,Ержан,Сатпаев,M,Кызылординская область,Южный район,Школа №5,kk,full,77.9,True
P01420,Анастасия,Волкова,F,Мангистауская область,Северный район,Школа №2,ru,single,56.6,False
P01421,Данияр,Бекенов,M,Костанайская область,Заречный район,Школа №5,kk,single,57.1,False
P01422,Балжан,Жумабеков,F,Жамбылская область,Восточный район,Школа №1,kk,full,71.1,True
P01423,Меруерт,Сатпаев,F,Костанайская область,Южный район,Школа №5,kk,single,43.5,False
P01424,Ержан,Темирбеков,M,Восточно-Казахстанская область,Восточный район,Школа №3,kk,full,42.4,False
P01425,Дмитрий,Смирнов,M,Северо-Казахстанская область,Западный район,Школа №1,ru,full,39.3,False
P01426,Малика,Маратов,F,Мангистауская область,Восточный район,Школа №3,kk,single,19.5,False
P01427,Камила,Жумабеков,F,Акмолинская область,Северный район,Школа №5,kk,full,85.8,True
P01428,Тимур,Нурланов,M,г. Астана,Центральный район,Школа №2,kk,single,32.5,False
P01429,Полина,Кузнецова,F,г. Астана,Сельский район,Школа №3,ru,single,45.7,False
P01430,Арман,Кадыров,M,Северо-Казахстанская область,Восточный район,Школа №1,kk,full,50.8,False
P01431,Данияр,Сериков,M,Восточно-Казахстанская область,Северный район,Школа №4,kk,full,59.6,False
P01432,Иван,Иванов,M,Туркестанская область,Северный район,Школа №4,ru,full,67.2,True
P01433,Рамазан,Касенов,M,Мангистауская область,Сельский район,Школа №2,kk,single,61.9,False
P01434,Арман,Нурланов,M,Костанайская область,Южный район,Школа №4,kk,full,46.3,False
P01435,Томирис,Темирбеков,F,Жетысуская область,Западный район,Школа №2,kk,full,52.5,False
P01436,Никита,Волков,M,Мангистауская область,Центральный район,Школа №2,ru,full,59.2,False
P01437,Алихан,Кадыров,M,Мангистауская область,Заречный район,Школа №2,kk,full,51.3,False
P01438,Александр,Соколов,M,Павлодарская область,Северный район,Школа №5,ru,single,73.1,True
P01439,Алмат,Касенов,M,Мангистауская область,Сельский район,Школа №2,kk,full,62.4,False
P01440,Меруерт,Темирбеков,F,Туркестанская область,Заречный район,Школа №4,kk,full,66.0,True
P01441,Алмат,Сатпаев,M,Северо-Казахстанская область,Западный район,Школа №4,kk,single,58.9,False
P01442,Анна,Смирнова,F,Павлодарская область,Западный район,Школа №1,ru,full,72.6,True
P01443,Никита,Соколов,M,Жамбылская область,Западный район,Школа №4,ru,full,57.7,False
P01444,Рамазан,Абилов,M,Кызылординская область,Центральный район,Школа №3,kk,full,35.5,False
P01445,Адильхан,Тулегенов,M,Западно-Казахстанская область,Северный район,Школа №4,kk,full,61.0,False
P01446,Шынгыс,Сериков,M,Кызылординская область,Заречный район,Школа №4,kk,full,45.2,False
P01447,Арман,Касенов,M,Туркестанская область,Восточный район,Школа №3,kk,single,41.1,False
P01448,Сабина,Сатпаев,F,Северо-Казахстанская область,Центральный район,Школа №3,kk,full,63.8,False
P01449,Анна,Лебедева,F,Улытауская область,Заречный район,Школа №3,ru,full,73.6,True
P01450,Дмитрий,Петров,M,Павлодарская область,Центральный район,Школа №5,ru,full,55.3,False
P01451,Бекжан,Маратов,M,Акмолинская область,Южный район,Школа №2,kk,single,53.6,False
